n1 n2 n3 n4 m1 m2 m3 m4   <n1n2|C|n3n4>            <n1n2|C|n4n3>            <n1n2|B|n3n4>            <1n2|B|n4n3>            Total
29 29 29 29  1 -1  1 -1    0.4302857860790487e+00   0.0000000000000000e+00   0.1437511590588453e-05  -0.2875023181176904e-05   0.4302900986138204e+00
29 30 29 30  1  1  1  1    0.3902602059912181e+00   0.2877328810127697e-01  -0.8544370054067511e-06  -0.3131160342861539e-05   0.3614891946132785e+00
31 34 30 33  3 -3  1 -1    0.3481053436669991e-03   0.3419541279243322e-03   0.2423839276543851e-08  -0.8689601697081345e-08   0.6162329183640539e-05
31 33 29 32 -1  1 -1  1   -0.8826036538257918e-02   0.1833149775960367e-03  -0.7554830184473265e-06  -0.1809713363255112e-06  -0.9009926027536077e-02
30 30 29 29  1 -1  1 -1   -0.2877328810127697e-01   0.5754657620255391e-01  -0.3131160342861539e-05   0.6262320685723075e-05  -0.8632925778485946e-01
34 34 30 30  3 -3  1 -1    0.1521083308734364e-03  -0.6084333234937455e-03   0.5933629187373740e-08  -0.6588376449617772e-08   0.7605541763728190e-03
32 33 29 30 -1 -1 -1 -1    0.6906141575075708e-02   0.6499260355136346e-03  -0.3912544802326067e-07  -0.1901753234907609e-06   0.6256366589437541e-02
34 29 30 29 -1  1 -1  1    0.0000000000000000e+00  -0.3873299786662137e-02   0.3917820876112747e-08   0.3696394449528451e-06   0.3872934065038061e-02
34 30 31 30 -3  1 -3  1    0.2655560735280651e-01   0.3179521483878899e-02   0.5918438855275024e-07  -0.3156507094374959e-07   0.2337617661838710e-01
34 30 31 30 -3 -1 -3 -1    0.2655560735280651e-01   0.7948803709697245e-03  -0.5918438855275024e-07  -0.2721993318751653e-07   0.2576069501738142e-01
34 31 31 31 -3  3 -3  3    0.2012616927869898e-01   0.0000000000000000e+00   0.1789132153248397e-06  -0.7860230281236887e-07   0.2012642679421711e-01
31 34 31 31  3 -3  1 -1   -0.1352114557705016e-02   0.1352114557705015e-02  -0.1323758606852879e-06   0.3930115140618441e-07  -0.2704400792422122e-02
