na nb nc nd la lb lc ld ja jb jc jd ma mb mc md   coul_dir         coul_ex          br_dir           br_ex            total
 7  7  7  7  0  0  0  0  1  1  1  1  1 -1  1 -1   0.43022128E+00   0.00000000E+00   0.14340854E-05   0.28681708E-05   0.43022558E+00
 7  7  7  7  0  1  0  1  1  1  1  1  1  1  1  1   0.39023727E+00  -0.28771131E-01  -0.85302554E-06   0.31352385E-05   0.36146842E+00
 7  7  7  7  0  1  0  1  1  1  1  1  1 -1  1 -1   0.39023727E+00  -0.57542262E-01   0.85302554E-06   0.62704770E-05   0.33270213E+00
 7  7  7  7  0  1  0  1  1  3  1  3  1  3  1  3   0.28865522E+00  -0.34316056E-01  -0.93930810E-06   0.54129177E-05   0.25434364E+00
 7  7  7  7  0  1  0  1  1  1  1  1 -1  1 -1  1   0.39023727E+00  -0.57542262E-01   0.85302554E-06   0.62704770E-05   0.33270213E+00
 7  7  7  7  0  1  0  1  1  1  1  1 -1 -1 -1 -1   0.39023727E+00  -0.28771131E-01  -0.85302554E-06   0.31352385E-05   0.36146842E+00
 7  7  7  7  0  1  0  1  1  3  1  3 -1  3 -1  3   0.28865522E+00   0.00000000E+00   0.93930810E-06   0.51729010E-06   0.28865668E+00
 7  7  7  7  1  1  1  1  1  1  1  1  1 -1  1 -1   0.36083969E+00   0.00000000E+00   0.16324922E-05   0.32649844E-05   0.36084459E+00
 7  7  7  7  1  1  1  1  1  3  1  3  1  3  1  3   0.27781064E+00  -0.43896497E-02  -0.58304012E-06   0.17666679E-06   0.27342058E+00
 7  7  7  7  1  1  1  1  1  3  1  3 -1  3 -1  3   0.27781064E+00  -0.17558599E-01   0.58304012E-06   0.25258673E-06   0.26025287E+00
 7  7  7  7  1  0  1  0  3  1  1  1 -1  1 -1  1   0.00000000E+00   0.24733416E-01   0.13033020E-06  -0.27467961E-05   0.24730800E-01
 7  7  7  7  1  0  1  0  3  1  1  1 -1 -1 -1 -1   0.00000000E+00  -0.24733416E-01  -0.13033020E-06   0.27467961E-05  -0.24730800E-01
 7  7  7  7  1  1  1  1  3  1  1  1 -1  1 -1  1   0.00000000E+00   0.00000000E+00  -0.94620227E-07   0.94620227E-07   0.00000000E+00
 7  7  7  7  1  1  1  1  3  3  1  3 -1  3 -1  3  -0.63090467E-02   0.12618093E-01   0.21016954E-06   0.00000000E+00   0.63092568E-02
 7  7  7  7  1  0  1  0  3  1  1  1  1  1  1  1   0.00000000E+00   0.24733416E-01   0.13033020E-06  -0.27467961E-05   0.24730800E-01
 7  7  7  7  1  0  1  0  3  1  1  1  1 -1  1 -1   0.00000000E+00  -0.24733416E-01  -0.13033020E-06   0.27467961E-05  -0.24730800E-01
